PartialPostalCode,Lead Amount (ppm)_avg,Lead Amount (ppm)_std,Latitude,Longitude,Place name
M5S,0.000115,0.0013872899219682675,43.6629,-79.3987,Downtown Toronto (University of Toronto / Harbord)
M5T,0.000137,0.0009764912829049781,43.6541,-79.3978,Downtown Toronto (Kensington Market / Chinatown / Grange Park)
M5V,0.000156,0.006426129866974819,43.6404,-79.3995,Downtown Toronto (CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / YTZ)
M6A,1e-05,0.0002737943798913467,43.7223,-79.4504,North York (Lawrence Manor / Lawrence Heights)
M6B,6.27e-05,0.0003434613680867353,43.7081,-79.4479,North York (Glencairn)
M6C,0.0001945,0.0412394926882956,43.6915,-79.4307,York (Cedarvale)
M6E,0.000845,0.03727167522621965,43.6889,-79.4507,York (Fairbank / Oakwood)
M6G,0.000262,0.0030249621335242892,43.6683,-79.4205,Downtown Toronto (Christie)
M6H,0.00036649999999999996,0.08389086934361917,43.6655,-79.4378,West Toronto (Dufferin / Dovercourt Village)
M6J,0.000515,0.11392710413471163,43.648,-79.4177,West Toronto (Rua Aþores / Trinity)
M6K,0.000504,0.05020136096819799,43.6383,-79.4301,West Toronto (Brockton / Parkdale Village / Exhibition Place)
M6L,5e-05,0.010891094276316501,43.7137,-79.4869,North York (North Park / Maple Leaf Park / Upwood Park)
M6M,0.0002285,0.028484273679523952,43.6934,-79.4857,York (Del Ray / Keelsdale / Mount Dennis / Silverthorne)
M6N,0.00073,0.03491722598277399,43.6748,-79.4839,York (Runnymede / The Junction North)
M6P,0.0002385,0.024668695149074896,43.6605,-79.4633,West Toronto (High Park / The Junction South)
M6R,0.000233,0.011379522484219669,43.6469,-79.4521,West Toronto (Parkdale / Roncesvalles Village)
M6S,0.000248,0.05295720825076699,43.6512,-79.4828,West Toronto (Bloor West Village / Swansea)
M8V,5.9e-05,0.003830453399284977,43.6075,-79.5013,Etobicoke (New Toronto / Mimico South / Humber Bay Shores)
M8W,9.23e-05,0.00371545626938741,43.6021,-79.5402,Etobicoke (Alderwood / Long Branch)
M8X,9.71e-05,0.0004937283784629294,43.6518,-79.5076,Etobicoke (The Kingsway / Montgomery Road / Old Mill North)
M8Y,6.595e-05,0.001381225262816426,43.6325,-79.4939,Etobicoke (Old Mill South / King's Mill Park / Sunnylea / Humber Bay / Mimico NE / The Queensway East / Royal York South East / Kingsway Park South East)
M8Z,5.18e-05,0.0005685306836138692,43.6256,-79.5231,Etobicoke (Mimico NW / The Queensway West / South of Bloor / Kingsway Park South West / Royal York South West)
M9A,5.88e-05,0.05029736592585086,43.6662,-79.5282,Etobicoke (Islington Avenue)
M9B,5.64e-05,0.10315461283271084,43.6505,-79.5517,Etobicoke (West Deane Park / Princess Gardens / Martin Grove / Islington / Cloverdale)
M9C,6.62e-05,0.0005623048764099183,43.6437,-79.5767,Etobicoke (Eringate / Bloordale Gardens / Old Burnhamthorpe / Markland Woods)
M9L,6.5e-05,0.00019555101636145998,43.7598,-79.5565,North York (Humber Summit)
M9M,6.76e-05,0.0010554451798612315,43.7366,-79.5401,North York (Humberlea / Emery)
M9N,8.455e-05,0.0067716972668160754,43.7068,-79.517,Weston
M9P,7.385e-05,0.0006121446094190623,43.6949,-79.5323,Etobicoke (Westmount)
M9R,5.9e-05,0.0001975585122402538,43.6898,-79.5582,Etobicoke (Kingsview Village / St. Phillips / Martin Grove Gardens / Richview Gardens)
M9V,5.435e-05,0.0005518545711126208,43.7432,-79.5876,Etobicoke (South Steeles / Silverstone / Humbergate / Jamestown / Mount Olive / Beaumond Heights / Thistletown / Albion Gardens)
M9W,7.625e-05,0.8957532742630417,43.7144,-79.5909,Etobicoke Northwest (Clairville / Humberwood / Woodbine Downs / West Humber / Kipling Heights / Rexdale / Elms / Tandridge / Old Rexdale)
